,0,Unnamed: 0,topic,type,value,word
0,,0.0,0.0,total,0.1412137145104669,medeverdacht
1,,1.0,0.0,total,0.1356735793646629,partij
2,,2.0,0.0,total,0.1295774083377701,man
3,,3.0,0.0,total,0.1262411005285587,dna
4,,4.0,0.0,total,0.1248823763990178,getuige
5,,5.0,0.0,total,0.1146428086172153,zeggen
6,,6.0,0.0,total,0.0985791633019368,feitelijkh
7,,7.0,0.0,total,0.0973688873094009,seks
8,,8.0,0.0,total,0.096472146503048,auto
9,,9.0,0.0,total,0.0940476513609137,verdachte
10,,10.0,1.0,total,0.4893805243650551,partij
11,,11.0,1.0,total,0.3007035180549635,medeverdacht
12,,12.0,1.0,total,0.2458924619116032,kelderbox
13,,13.0,1.0,total,0.1310903261421437,vordering
14,,14.0,1.0,total,0.1124694462372932,bedrag
15,,15.0,1.0,total,0.1031105664694443,auto
16,,16.0,1.0,total,0.0911571419150001,jongen
17,,17.0,1.0,total,0.0743560852521128,hotel
18,,18.0,1.0,total,0.0717631747821767,pijpen
19,,19.0,1.0,total,0.0613364700745403,schade
20,,20.0,2.0,total,0.6462362877707665,kelderbox
21,,21.0,2.0,total,0.3354716994981356,medeverdacht
22,,22.0,2.0,total,0.1805637838082734,pijpen
23,,23.0,2.0,total,0.1624337124099257,jongen
24,,24.0,2.0,total,0.0973007558067551,medeverdachte
25,,25.0,2.0,total,0.0955741755684333,film
26,,26.0,2.0,total,0.095337273455757,pijp
27,,27.0,2.0,total,0.0626242218286795,afbeelding
28,,28.0,2.0,total,0.0606638783869614,maasslui
29,,29.0,2.0,total,0.057815626452296,gepijpt_wild
30,,30.0,3.0,total,0.2444490035574122,dna
31,,31.0,3.0,total,0.1508784608660902,man
32,,32.0,3.0,total,0.132003076867345,bemonstering
33,,33.0,3.0,total,0.1136769917534435,getuige
34,,34.0,3.0,total,0.0967251791559445,profiel
35,,35.0,3.0,total,0.0687069147909363,onderzoek
36,,36.0,3.0,total,0.0673988683595986,aantreffen
37,,37.0,3.0,total,0.0657828594381989,afkomstig
38,,38.0,3.0,total,0.0555518853673428,chromosomaal
39,,39.0,3.0,total,0.054557525008159,vrouw
0,,0.0,0.0,rape,0.1412137145104669,medeverdacht
1,,1.0,0.0,rape,0.1356735793646629,partij
2,,2.0,0.0,rape,0.1295774083377701,man
3,,3.0,0.0,rape,0.1262411005285587,dna
4,,4.0,0.0,rape,0.1248823763990178,getuige
5,,5.0,0.0,rape,0.1146428086172153,zeggen
6,,6.0,0.0,rape,0.0985791633019368,feitelijkh
7,,7.0,0.0,rape,0.0973688873094009,seks
8,,8.0,0.0,rape,0.096472146503048,auto
9,,9.0,0.0,rape,0.0940476513609137,verdachte
10,,10.0,1.0,rape,0.4893805243650551,partij
11,,11.0,1.0,rape,0.3007035180549635,medeverdacht
12,,12.0,1.0,rape,0.2458924619116032,kelderbox
13,,13.0,1.0,rape,0.1310903261421437,vordering
14,,14.0,1.0,rape,0.1124694462372932,bedrag
15,,15.0,1.0,rape,0.1031105664694443,auto
16,,16.0,1.0,rape,0.0911571419150001,jongen
17,,17.0,1.0,rape,0.0743560852521128,hotel
18,,18.0,1.0,rape,0.0717631747821767,pijpen
19,,19.0,1.0,rape,0.0613364700745403,schade
20,,20.0,2.0,rape,0.6462362877707665,kelderbox
21,,21.0,2.0,rape,0.3354716994981356,medeverdacht
22,,22.0,2.0,rape,0.1805637838082734,pijpen
23,,23.0,2.0,rape,0.1624337124099257,jongen
24,,24.0,2.0,rape,0.0973007558067551,medeverdachte
25,,25.0,2.0,rape,0.0955741755684333,film
26,,26.0,2.0,rape,0.095337273455757,pijp
27,,27.0,2.0,rape,0.0626242218286795,afbeelding
28,,28.0,2.0,rape,0.0606638783869614,maasslui
29,,29.0,2.0,rape,0.057815626452296,gepijpt_wild
30,,30.0,3.0,rape,0.2444490035574122,dna
31,,31.0,3.0,rape,0.1508784608660902,man
32,,32.0,3.0,rape,0.132003076867345,bemonstering
33,,33.0,3.0,rape,0.1136769917534435,getuige
34,,34.0,3.0,rape,0.0967251791559445,profiel
35,,35.0,3.0,rape,0.0687069147909363,onderzoek
36,,36.0,3.0,rape,0.0673988683595986,aantreffen
37,,37.0,3.0,rape,0.0657828594381989,afkomstig
38,,38.0,3.0,rape,0.0555518853673428,chromosomaal
39,,39.0,3.0,rape,0.054557525008159,vrouw
0,,0.0,0.0,harddrugs,0.274030239282987,medeverdacht
1,,1.0,0.0,harddrugs,0.1668141285389754,gram
2,,2.0,0.0,harddrugs,0.1369250979744404,woning
3,,3.0,0.0,harddrugs,0.1338882597820979,telefoonnummer
4,,4.0,0.0,harddrugs,0.1337719787953453,adres
5,,5.0,0.0,harddrugs,0.128262945942642,cocaine
6,,6.0,0.0,harddrugs,0.1260165175784887,aantreffen
7,,7.0,0.0,harddrugs,0.1238158160482997,heroine
8,,8.0,0.0,harddrugs,0.1082695270006791,telkens
9,,9.0,0.0,harddrugs,0.1062242693136466,wapen
10,,10.0,1.0,harddrugs,0.4456806813111353,aanvulling
11,,11.0,1.0,harddrugs,0.2932503545241945,vervat_indien
12,,12.0,1.0,harddrugs,0.2205086670448476,gronden
13,,13.0,1.0,harddrugs,0.2066160312861536,gram
14,,14.0,1.0,harddrugs,0.2002609958556284,hechten
15,,15.0,1.0,harddrugs,0.1459321254165512,redengevend
